index,litres
0,23876.5390625
1,26032.28515625
2,35733.96875
3,35655.7734375
4,25200.37890625
5,31202.6953125
6,34974.44140625
7,34974.44140625
8,28974.55078125
9,28922.7890625
10,32326.99609375
11,32326.99609375
12,27430.8203125
13,28128.68359375
14,25102.11328125
15,25102.11328125
16,25102.11328125
17,29715.78515625
18,29715.78515625
19,29432.859375
20,29456.55078125
21,29733.17578125
22,32756.390625
23,32466.4375
24,32466.4375
25,31295.78125
26,30732.2578125
27,33147.72265625
28,40504.16796875
29,31645.0
30,36620.24609375
31,36620.24609375
32,36171.48828125
33,32873.03515625
34,32873.03515625
35,31002.685546875
36,31002.685546875
37,31002.685546875
38,28002.494140625
39,27728.642578125
40,25733.37890625
41,25733.37890625
42,25132.669921875
43,25132.669921875
44,24438.513671875
45,24438.513671875
46,24673.455078125
47,22069.09765625
48,22065.994140625
49,22065.994140625
50,23481.0546875
51,19874.1171875
52,27543.892578125
53,29699.642578125
54,39401.328125
55,39323.1328125
56,28867.732421875
57,34870.05078125
58,38641.796875
59,38641.796875
60,32641.900390625
61,32590.138671875
62,35994.3515625
63,35125.84375
64,30229.662109375
65,32744.40625
66,29717.833984375
67,29717.833984375
68,29717.833984375
69,31628.673828125
70,31628.673828125
71,31345.748046875
72,31369.439453125
73,30817.212890625
74,34067.34375
75,33777.390625
76,33777.390625
77,32606.73046875
78,32401.90625
79,34817.375
80,42173.8203125
81,33314.65234375
82,38289.89453125
83,38289.89453125
84,37841.13671875
85,31176.23046875
86,31176.23046875
87,26141.103515625
88,26141.103515625
89,26141.103515625
90,23140.908203125
91,22867.056640625
92,20871.794921875
93,20871.794921875
94,20271.0859375
95,20271.0859375
96,19576.9296875
97,19576.9296875
98,19648.384765625
99,17044.02734375
100,17040.923828125
101,17040.923828125
102,18455.984375
103,23541.466796875
104,11716.5205078125
105,13872.2705078125
106,23573.953125
107,23495.7578125
108,13040.3642578125
109,19042.6796875
110,22814.42578125
111,22814.42578125
112,16814.52734375
113,16762.76171875
114,20166.9765625
115,19298.46875
116,14402.2900390625
117,16917.03125
118,13890.4638671875
119,13890.4638671875
120,13890.4638671875
121,18504.140625
122,18504.140625
123,18221.21484375
124,18244.90625
125,17692.677734375
126,20715.890625
127,20425.9375
128,20425.9375
129,19255.28125
130,18691.7578125
131,21107.22265625
132,28463.6640625
133,19604.5
134,24579.7421875
135,24579.7421875
136,24130.984375
137,20832.53515625
138,20832.53515625
139,18962.185546875
140,18962.185546875
141,18962.185546875
142,15961.998046875
143,15688.146484375
144,13692.88671875
145,13692.88671875
146,13092.177734375
147,13092.177734375
148,12398.021484375
149,12398.021484375
150,12632.9609375
151,10028.6025390625
152,10025.4990234375
153,10025.4990234375
154,11440.5615234375
155,7714.0908203125
156,9989.5283203125
157,12145.27734375
158,21846.95703125
159,21768.763671875
160,11313.3642578125
161,17315.677734375
162,21087.431640625
163,21087.431640625
164,15087.5341796875
165,15035.7705078125
166,13068.451171875
167,12199.947265625
168,6141.76513671875
169,8656.5107421875
170,5629.9404296875
171,5629.9404296875
172,5629.9404296875
173,10243.607421875
174,10243.607421875
175,9960.6796875
176,9984.37109375
177,9432.1494140625
178,13682.32421875
179,13392.37109375
180,13392.37109375
181,12221.7158203125
182,11658.19140625
183,16054.3759765625
184,25887.1015625
185,15159.6884765625
186,20134.9375
187,20134.9375
188,19686.1796875
189,18596.4765625
190,17607.00390625
191,11216.0166015625
192,11216.0166015625
193,11216.0166015625
194,8215.82421875
195,7941.97216796875
196,5946.71240234375
197,5946.71240234375
198,5346.00341796875
199,5346.00341796875
200,4651.84619140625
201,4651.84619140625
202,4886.78662109375
203,2282.427734375
204,2279.3251953125
205,2279.3251953125
206,3694.38525390625
207,3785.793212890625
208,1321.9287109375
209,3477.676513671875
210,13179.35546875
211,13101.16015625
212,2645.771240234375
213,8648.0859375
214,12419.828125
215,12419.828125
216,6419.939453125
217,7826.2822265625
218,12763.998046875
219,10963.890625
220,6067.71826171875
221,6067.71826171875
222,6499.05419921875
223,6499.05419921875
224,6499.05419921875
225,9274.615234375
226,9274.615234375
227,8991.6875
228,9015.37890625
229,7821.42578125
230,12950.0595703125
231,12660.1064453125
232,12660.1064453125
233,11489.451171875
234,10925.9267578125
235,11852.6796875
236,21685.40625
237,10957.994140625
238,15933.23828125
239,15933.23828125
240,15484.48046875
241,14394.77734375
242,13405.302734375
243,7735.80615234375
244,7735.80615234375
245,7735.80615234375
246,2016.8349609375
247,1742.9837646484375
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,125303.5546875
261,127459.3046875
262,137160.984375
263,137082.78125
264,123767.203125
265,129769.53125
266,137884.9375
267,137884.9375
268,135694.84375
269,135643.078125
270,137249.78125
271,137249.78125
272,132353.609375
273,132353.609375
274,132353.609375
275,132353.609375
276,132353.609375
277,138163.078125
278,138163.078125
279,137880.140625
280,137903.84375
281,138180.46875
282,141430.609375
283,141140.65625
284,141140.65625
285,139970.0
286,134771.703125
287,135437.296875
288,142793.734375
289,130552.9609375
290,138909.8125
291,138909.8125
292,138461.046875
293,140787.296875
294,140787.296875
295,140741.90625
296,140741.90625
297,140741.90625
298,139607.40625
299,139333.5625
300,137338.28125
301,137338.28125
302,136737.5625
303,136737.5625
304,136043.40625
305,136043.40625
306,136114.859375
307,134126.359375
308,134427.046875
309,134427.046875
310,138277.390625
311,111456.9609375
312,7409.5830078125
313,9565.330078125
314,18593.7421875
315,18515.548828125
316,8060.1611328125
317,14062.4765625
318,17834.216796875
319,17834.216796875
320,11834.32421875
321,11782.560546875
322,15186.7734375
323,13386.66796875
324,8490.484375
325,7659.1435546875
326,4632.5751953125
327,4632.5751953125
328,4632.5751953125
329,9246.25
330,9246.25
331,8963.322265625
332,8987.013671875
333,8434.791015625
334,11458.0029296875
335,11168.0498046875
336,11168.0498046875
337,9997.39453125
338,8332.369140625
339,10747.833984375
340,14206.21875
341,5347.0517578125
342,10322.296875
343,10322.296875
344,9873.5390625
345,13123.2939453125
346,13123.2939453125
347,15151.0009765625
348,15151.0009765625
349,15151.0009765625
350,12150.8134765625
351,11876.9619140625
352,9881.6962890625
353,9881.6962890625
354,9280.9873046875
355,9280.9873046875
356,8586.8291015625
357,8586.8291015625
358,8821.7685546875
359,6217.40673828125
360,6214.3046875
361,6214.3046875
362,9393.5498046875
363,3407.15380859375
364,155450.34375
365,157606.09375
366,167307.765625
367,167229.5625
368,153913.953125
369,159916.265625
370,168031.703125
371,168031.703125
372,165841.625
373,165789.859375
374,167396.578125
375,167396.578125
376,162500.390625
377,162500.390625
378,162500.390625
379,162500.390625
380,162500.390625
381,168309.859375
382,168309.859375
383,168026.921875
384,168050.625
385,168327.25
386,171577.390625
387,171287.4375
388,171287.4375
389,170116.78125
390,164918.484375
391,165584.078125
392,172940.515625
393,160699.734375
394,169056.59375
395,169056.59375
396,168607.828125
397,170934.078125
398,170934.078125
399,170888.6875
400,170888.6875
401,170888.6875
402,169754.1875
403,169480.328125
404,167485.0625
405,167485.0625
406,166884.34375
407,166884.34375
408,166190.1875
409,166190.1875
410,166261.640625
411,164273.140625
412,164573.828125
413,164573.828125
414,168424.171875
415,141603.734375
416,10994.03515625
417,13149.78515625
418,22178.1953125
419,22100.001953125
420,11644.611328125
421,17646.923828125
422,21418.669921875
423,21418.669921875
424,15418.78125
425,15367.017578125
426,18771.22265625
427,16971.115234375
428,12074.9375
429,14589.68359375
430,13275.509765625
431,13275.509765625
432,13275.509765625
433,16685.89453125
434,16685.89453125
435,16402.966796875
436,16426.658203125
437,15874.435546875
438,18897.646484375
439,18607.693359375
440,18607.693359375
441,17437.037109375
442,17232.212890625
443,19647.677734375
444,23106.060546875
445,14246.8984375
446,19222.138671875
447,19222.138671875
448,18773.380859375
449,22023.13671875
450,22023.13671875
451,20886.068359375
452,20886.068359375
453,20886.068359375
454,17885.87890625
455,17612.02734375
456,15616.7646484375
457,15616.7646484375
458,15016.0556640625
459,15016.0556640625
460,14321.9013671875
461,14321.9013671875
462,14556.8408203125
